city,district,area
花蓮縣,富里鄉,176.37
花蓮縣,秀林鄉,1641.856
花蓮縣,萬榮鄉,618.491
花蓮縣,卓溪鄉,1021.313
澎湖縣,澎湖縣,126.864
澎湖縣,馬公市,33.992
澎湖縣,湖西鄉,33.301
澎湖縣,白沙鄉,20.088
澎湖縣,西嶼鄉,18.715
澎湖縣,望安鄉,13.782
澎湖縣,七美鄉,6.987
基隆市,基隆市,132.759
基隆市,中正區,10.212
基隆市,七堵區,56.266
基隆市,暖暖區,22.828
基隆市,仁愛區,4.234
基隆市,中山區,10.524
基隆市,安樂區,18.025
基隆市,信義區,10.671
新竹市,新竹市,104.153
新竹市,東區,33.577
新竹市,北區,15.727
新竹市,香山區,54.849
嘉義市,嘉義市,60.026
嘉義市,東區,30.156
嘉義市,西區,29.87
福建省,福建省,180.456
金門縣,金門縣,151.656
金門縣,金城鎮,21.713
金門縣,金湖鎮,41.696
金門縣,金沙鎮,41.19
金門縣,金寧鄉,29.854
金門縣,烈嶼鄉,16.003
金門縣,烏坵鄉,1.2
連江縣,連江縣,28.8
連江縣,南竿鄉,10.4
連江縣,北竿鄉,9.9
連江縣,莒光鄉,4.7
連江縣,東引鄉,3.8
東沙群島,東沙群島,2.38
南沙群島,南沙群島,0.504
