loc_id,city_id,category_id,regis,removal,pet_count,sum_store_score,category_raw_score,norm_city,norm_all,category_city_score,category_all_score,city_score,all_score,final_score,final_score_10
KSH011,KSH,1,14138,643,13495,4.671840664745502,3.4619049016269003,4.26,3.38,1.1502000000000001,0.9126000000000001,3.5339,2.8392,3.32549,3.5
KSH011,KSH,2,14138,643,13495,11.134990174573135,8.251196868894505,2.09,1.49,0.1881,0.1341,3.5339,2.8392,3.32549,3.5
KSH011,KSH,3,14138,643,13495,5.854718061923568,4.338435021803311,4.34,4.58,0.4774,0.5038,3.5339,2.8392,3.32549,3.5
KSH011,KSH,4,14138,643,13495,12.59157520150658,9.330548500560637,7.78,5.87,1.167,0.8805,3.5339,2.8392,3.32549,3.5
KSH011,KSH,5,14138,643,13495,10.679631943111955,7.913769502120752,4.24,3.14,0.5512,0.4082,3.5339,2.8392,3.32549,3.5
KSH012,KSH,1,33353,1691,31662,19.608472652378087,6.193061920402402,8.74,7.65,2.3598000000000003,2.0655,5.343400000000001,4.7625,5.169130000000001,5.44
KSH012,KSH,2,33353,1691,31662,19.092639082715433,6.03014309984064,1.2,0.93,0.108,0.0837,5.343400000000001,4.7625,5.169130000000001,5.44
KSH012,KSH,3,33353,1691,31662,24.71336046982983,7.805369360694154,9.5,9.5,1.045,1.045,5.343400000000001,4.7625,5.169130000000001,5.44
KSH012,KSH,4,33353,1691,31662,39.72113883524998,12.54536631774682,9.5,8.54,1.425,1.281,5.343400000000001,4.7625,5.169130000000001,5.44
KSH012,KSH,5,33353,1691,31662,20.221626442658753,6.3867179719091505,3.12,2.21,0.4056,0.2873,5.343400000000001,4.7625,5.169130000000001,5.44
KSH013,KSH,1,7534,604,6930,1.0635076805407455,1.5346431176634137,1.1,0.5,0.29700000000000004,0.135,3.1629000000000005,2.4537,2.95014,3.11
KSH013,KSH,2,7534,604,6930,3.510624714223619,5.065836528461211,0.81,0.69,0.0729,0.062099999999999995,3.1629000000000005,2.4537,2.95014,3.11
KSH013,KSH,3,7534,604,6930,1.7795127911453568,2.5678395254622757,1.7,1.95,0.187,0.2145,3.1629000000000005,2.4537,2.95014,3.11
KSH013,KSH,4,7534,604,6930,7.421041249185666,10.708573231148147,9.14,7.01,1.371,1.0514999999999999,3.1629000000000005,2.4537,2.95014,3.11
