loc_id,date,animal,regis_count,removal_count,update_date
TNA034,1,2025/11/06,1,0,2025/11/07
TNA036,1,2025/11/06,2,0,2025/11/07
TNA035,1,2025/11/06,4,0,2025/11/07
TNA031,1,2025/11/06,7,0,2025/11/07
TNA028,1,2025/11/06,4,0,2025/11/07
TNA018,1,2025/11/06,0,0,2025/11/07
TNA026,1,2025/11/06,0,0,2025/11/07
TNA023,1,2025/11/06,0,0,2025/11/07
TNA024,1,2025/11/06,1,0,2025/11/07
TNA025,1,2025/11/06,0,0,2025/11/07
TNA027,1,2025/11/06,2,0,2025/11/07
TNA029,1,2025/11/06,1,0,2025/11/07
TNA030,1,2025/11/06,0,0,2025/11/07
TNA010,1,2025/11/06,5,0,2025/11/07
TNA007,1,2025/11/06,0,0,2025/11/07
TNA012,1,2025/11/06,0,0,2025/11/07
TNA014,1,2025/11/06,0,0,2025/11/07
TNA015,1,2025/11/06,0,0,2025/11/07
TNA016,1,2025/11/06,0,0,2025/11/07
TNA013,1,2025/11/06,1,0,2025/11/07
TNA017,1,2025/11/06,0,0,2025/11/07
TNA001,1,2025/11/06,0,0,2025/11/07
TNA005,1,2025/11/06,0,0,2025/11/07
TNA003,1,2025/11/06,0,0,2025/11/07
TNA006,1,2025/11/06,0,0,2025/11/07
TNA009,1,2025/11/06,0,0,2025/11/07
TNA008,1,2025/11/06,1,0,2025/11/07
TNA004,1,2025/11/06,0,0,2025/11/07
TNA002,1,2025/11/06,1,0,2025/11/07
TNA019,1,2025/11/06,0,0,2025/11/07
TNA011,1,2025/11/06,0,0,2025/11/07
TNA022,1,2025/11/06,1,0,2025/11/07
TNA020,1,2025/11/06,2,0,2025/11/07
TNA021,1,2025/11/06,0,0,2025/11/07
KSH006,0,2025/11/06,2,0,2025/11/07
KSH007,0,2025/11/06,0,0,2025/11/07
KSH008,0,2025/11/06,10,0,2025/11/07
KSH001,0,2025/11/06,0,0,2025/11/07
KSH002,0,2025/11/06,1,0,2025/11/07
KSH010,0,2025/11/06,0,0,2025/11/07
KSH009,0,2025/11/06,6,0,2025/11/07
KSH005,0,2025/11/06,5,0,2025/11/07
KSH004,0,2025/11/06,2,0,2025/11/07
KSH011,0,2025/11/06,2,0,2025/11/07
KSH003,0,2025/11/06,1,0,2025/11/07
KSH017,0,2025/11/06,0,0,2025/11/07
KSH016,0,2025/11/06,0,0,2025/11/07
KSH019,0,2025/11/06,0,0,2025/11/07
KSH024,0,2025/11/06,2,0,2025/11/07
KSH023,0,2025/11/06,0,0,2025/11/07
KSH022,0,2025/11/06,0,0,2025/11/07
KSH021,0,2025/11/06,2,0,2025/11/07
KSH020,0,2025/11/06,0,0,2025/11/07
KSH029,0,2025/11/06,1,0,2025/11/07
KSH028,0,2025/11/06,0,0,2025/11/07
KSH027,0,2025/11/06,0,0,2025/11/07
KSH025,0,2025/11/06,0,0,2025/11/07
KSH012,0,2025/11/06,11,0,2025/11/07
KSH014,0,2025/11/06,4,0,2025/11/07
KSH013,0,2025/11/06,1,0,2025/11/07
KSH018,0,2025/11/06,1,0,2025/11/07
KSH015,0,2025/11/06,0,0,2025/11/07
KSH030,0,2025/11/06,2,0,2025/11/07
KSH031,0,2025/11/06,0,0,2025/11/07
KSH032,0,2025/11/06,2,0,2025/11/07
KSH035,0,2025/11/06,5,0,2025/11/07
KSH034,0,2025/11/06,0,0,2025/11/07
KSH033,0,2025/11/06,0,0,2025/11/07
KSH037,0,2025/11/06,0,0,2025/11/07
KSH038,0,2025/11/06,0,0,2025/11/07
KSH036,0,2025/11/06,0,0,2025/11/07
KSH026,0,2025/11/06,0,0,2025/11/07
KSH006,1,2025/11/06,0,0,2025/11/07
KSH007,1,2025/11/06,6,0,2025/11/07
KSH008,1,2025/11/06,41,0,2025/11/07
KSH001,1,2025/11/06,0,0,2025/11/07
KSH002,1,2025/11/06,1,0,2025/11/07
KSH010,1,2025/11/06,0,0,2025/11/07
KSH009,1,2025/11/06,9,0,2025/11/07
KSH005,1,2025/11/06,12,0,2025/11/07
KSH004,1,2025/11/06,3,0,2025/11/07
KSH011,1,2025/11/06,5,0,2025/11/07
KSH003,1,2025/11/06,7,0,2025/11/07
KSH017,1,2025/11/06,3,0,2025/11/07
KSH016,1,2025/11/06,0,0,2025/11/07
KSH019,1,2025/11/06,3,0,2025/11/07
KSH024,1,2025/11/06,0,0,2025/11/07
KSH023,1,2025/11/06,1,0,2025/11/07
KSH022,1,2025/11/06,0,0,2025/11/07
KSH021,1,2025/11/06,0,0,2025/11/07
KSH020,1,2025/11/06,7,0,2025/11/07
KSH029,1,2025/11/06,43,0,2025/11/07
KSH028,1,2025/11/06,0,0,2025/11/07
KSH027,1,2025/11/06,0,0,2025/11/07
KSH025,1,2025/11/06,1,0,2025/11/07
KSH012,1,2025/11/06,11,0,2025/11/07
KSH014,1,2025/11/06,6,0,2025/11/07
KSH013,1,2025/11/06,3,0,2025/11/07
KSH018,1,2025/11/06,0,0,2025/11/07
KSH015,1,2025/11/06,1,0,2025/11/07
KSH030,1,2025/11/06,1,0,2025/11/07
KSH031,1,2025/11/06,0,0,2025/11/07
KSH032,1,2025/11/06,1,0,2025/11/07
KSH035,1,2025/11/06,3,0,2025/11/07
KSH034,1,2025/11/06,2,0,2025/11/07
KSH033,1,2025/11/06,0,0,2025/11/07
KSH037,1,2025/11/06,0,0,2025/11/07
KSH038,1,2025/11/06,0,0,2025/11/07
KSH036,1,2025/11/06,0,0,2025/11/07
KSH026,1,2025/11/06,0,0,2025/11/07
